Name;Region;Year;Color;Castes;AlcoholPercentage;Producer;MinimunPrice;MaximumPrice;Judge;JudgeRating;Date;JudgeNotes
.Beb 2007;Regional Alentejo;2007;RosÇ;Cabernet Sauvignon, Syrah e Touriga Nacional;13.5;Tiago Mateus Cabaáo e Cabaáo;4.0;7.5;Tiago Cabaáo;15.5;Dezembro 2008;Cor vermelha brilhante e aromas iniciais dominados por um apimentado que aliado Ös notas frutadas foram um conjunto bem interessante, na boca tem uma presenáa agrad†vel, Ç fresco e delicado, sempre dominado por notas frutadas e com um final mÇdio de comprimento mas persistente de sabor.
.Beb 2009;Regional Alentejo;2009;Red;Cabernet Sauvignon, Syrah, Alicante Bouschet e Touriga Nacional;14.0;Tiago Mateus Cabaáo e Cabaáo;7.5;10.0;Susana Esteban;16.0;Novembro 2012;Cor avermelhada e nariz muito arom†tico, onde as notas de fruta vermelha combinadas com delicadas sugest‰es minerais e especiadas, formam um conjunto complexo e acima de tudo fresco, na boca Ç um vinho suave, muito equilibrado, com taninos redondos e uma textura sedutora, o paladar revela uma bela dose de fruta madura integrada com as subtis notas de barrica e diversas especiarias, o final de boca tem um comprimento ligeiramente acima da mÇdia e uma persistància mediana.
.Beb 2010;Regional Alentejo;2010;Red;Cabernet Sauvignon, Syrah, Alicante Bouschet e Touriga Nacional;14.0;Tiago Mateus Cabaáo e Cabaáo;7.5;10.0;Tiago Cabaáo;16.0;Agosto 2013;Apresenta uma cor rubi agradavelmente concentrada no centro e uma aurÇola de tonalidade viol†cea, no nariz destacam-se os aromas florais aliados Ö fruta vermelha e a delicadas notas apimentadas e tambÇm diversas especiarias e nuances de barrica, na boca Ç um vinho equilibrado, atractivo e com uns taninos redondos, revela um paladar muito frutado e especiado, com delicadas sugest‰es apimentadas e de barrica, respons†veis pela complexidade do conjunto, o final de boca tem um comprimento mÇdio/longo.
.Beb 2011;Regional Alentejo;2011;White;Arinto, Roupeiro e Viognier;13.5;Tiago Mateus Cabaáo e Cabaáo;7.5;10.0;Tiago Cabaáo e Susana Esteban;15.5;Setembro 2012;Cor amarela brilhante e nariz delicadamente marcado por notas de fruta tropical madura misturadas com um ligeiro mas fresco toque floral e uma mineralidade, que Ç capaz de conferir alguma complexidade ao conjunto, na boca Ç um vinho equilibrado, suave e de estrutura mÇdia, conta com um paladar frutado, bem como suavemente especiado, o final de boca Ç mediano, quer em termos de comprimento, quer na persistància.
.Beb 2012;Regional Alentejo;2012;White;Encruzado, Verdelho e Viognier;13.5;Tiago Mateus Cabaáo e Cabaáo;4.0;7.5;Tiago Cabaáo e Susana Esteban;16.0;Julho 2014;Apresenta uma cor amarela ligeiramente p†lida e um nariz rico em aromas de fruta tropical e notas minerais, muito bem envolvidas com sugestivos apontamentos vegetais e florais, num fundo subtilmente marcado por alguma barrica, na boca Ç um vinho untuoso e equilibrado, com uma acidez bem presente e um paladar fresco, onde a fruta madura e suaves nuances de baunilha se misturam com elegantes notas minerais, o final de boca Ç relativamente prolongado.
.Beb 2013;Regional Alentejo;2013;RosÇ;Touriga Nacional e Syrah;13.0;Tiago Mateus Cabaáo e Cabaáo;4.0;7.5;Tiago Cabaáo;15.0;Agosto 2014;Cor vermelha intensa e nariz rico em aromas de frutos vermelhos, especialmente morangos, aliados a breves sugest‰es florais, na boca Ç um vinho fresco, com uma acidez agrad†vel e um paladar acima de tudo frutado, acompanhado por breves notas florais e vegetais, termina com um final de boca de comprimento mediano.
.Beb Selection 2012;Regional Alentejo;2012;Red;Touriga Nacional, Alicante Bouschet e Syrah;14.5;Tiago Mateus Cabaáo e Cabaáo;7.5;10.0;Tiago Cabaáo;16.0;Outubro 2016;Cor rubi de intensidade mÇdia/alta e nariz expressivo, onde os aromas de fruta vermelha madura combinam de uma forma bem agrad†vel com delicadas notas especiadas e florais, alÇm de um breve toque vegetal, na boca Ç um vinho relativamente encorpado, com taninos sedosos e um volume ligeiramente acima da mÇdia, no paladar sobressai a qualidade da fruta envolvida pela tosta e por um fino toque de diversas especiarias, o final de boca termina com um comprimento e uma persistància relativamente prolongados.
.Beb Selection 2014;Regional Alentejo;2014;White;Encruzado, Verdelho e Viognier;13.5;Tiago Mateus Cabaáo e Cabaáo;7.5;10.0;Tiago Cabaáo;16.0;Outubro 2016;Cor amarela brilhante e nariz elegante e muito fresco, onde os aromas minerais se misturam com a fruta tropical madura e com breves notas vegetais e tostadas, na boca Ç um vinho muito equilibrado e redondo, com uma acidez bem interessante e um paladar cremoso, onde a fruta casa na perfeiá∆o com a madeira e com breves nuances c°tricas, o final de boca termina com um comprimento mediano e uma persistància mÇdia/alta.
.Com 2007;Regional Alentejo;2007;Red;Aragonez, Cabernet Sauvignon, Trincadeira e Alicante Bouschet;13.5;Tiago Mateus Cabaáo e Cabaáo;4.0;7.5;Tiago Cabaáo;15.5;Julho 2009;Cor rubi de centro bem escuro e de laivos violetas brilhantes, no nariz sobressaiem os frutos silvestres acompanhados de algum vegetal e um leve apimentado, na boca mostra um corpo com um bom volume, taninos polidos e estrutura agrad†vel, a fruta e as especiarias formam um belo conjunto, que termina de uma forma mÇdia.
.Com 2009;Regional Alentejo;2009;Red;Aragonez, Cabernet Sauvignon, Trincadeira e Touriga Nacional;14.0;Tiago Mateus Cabaáo e Cabaáo;4.0;7.5;Susana EstÇban;15.5;Agosto 2011;Cor rubi concentrada e leve tonalidade violeta, o nariz revela-se perfumado e rico em aromas de notas florais, bem misturados por sugest‰es de frutos silvestres e uma leve sensaá∆o vegetal, na boca Ç um vinho muito redondo, equilibrado e de f†cil prova, revela ainda uma estrutura mediana, um paladar muito frutado e um final mÇdio mas saboroso.
